League,Goals For,Team,GF Home,GF Away,GF First Half,GF Second Half,GF First 15 mins,GF Last 10 mins,GF Home Matches Scored In,GF Away Matches Scored In,GF Pld,GF Per Match,Season,KEY
Premier League,71,Manchester City,47,24,32,39,11,14,17,13,38,1.87,2015/16,Premier League|Manchester City|2015/16
Premier League,69,Tottenham Hotspur,35,34,31,38,6,11,15,17,38,1.82,2015/16,Premier League|Tottenham Hotspur|2015/16
Premier League,68,Leicester City,35,33,28,40,6,14,17,18,38,1.79,2015/16,Premier League|Leicester City|2015/16
Premier League,65,Arsenal,31,34,35,30,10,8,15,15,38,1.71,2015/16,Premier League|Arsenal|2015/16
Premier League,65,West Ham United,34,31,28,37,8,13,18,15,38,1.71,2015/16,Premier League|West Ham United|2015/16
Premier League,63,Liverpool,33,30,28,35,5,9,17,13,38,1.66,2015/16,Premier League|Liverpool|2015/16
Premier League,59,Southampton,39,20,26,33,8,9,16,12,38,1.55,2015/16,Premier League|Southampton|2015/16
Premier League,59,Chelsea,32,27,29,30,9,9,17,13,38,1.55,2015/16,Premier League|Chelsea|2015/16
Premier League,59,Everton,35,24,30,29,5,12,15,12,38,1.55,2015/16,Premier League|Everton|2015/16
Premier League,49,Manchester United,27,22,21,28,5,6,14,14,38,1.29,2015/16,Premier League|Manchester United|2015/16
Premier League,48,Sunderland,23,25,18,30,4,14,11,15,38,1.26,2015/16,Premier League|Sunderland|2015/16
Premier League,45,AFC Bournemouth,23,22,21,24,9,10,14,13,38,1.18,2015/16,Premier League|AFC Bournemouth|2015/16
Premier League,44,Newcastle United,32,12,17,27,4,12,15,9,38,1.16,2015/16,Premier League|Newcastle United|2015/16
Premier League,42,Swansea City,20,22,23,19,3,4,13,13,38,1.11,2015/16,Premier League|Swansea City|2015/16
Premier League,41,Stoke City,22,19,17,24,8,8,13,12,38,1.08,2015/16,Premier League|Stoke City|2015/16
Premier League,40,Watford,20,20,18,22,6,9,12,12,38,1.05,2015/16,Premier League|Watford|2015/16
Premier League,39,Norwich City,26,13,16,23,2,5,14,8,38,1.03,2015/16,Premier League|Norwich City|2015/16
Premier League,39,Crystal Palace,19,20,13,26,2,9,12,12,38,1.03,2015/16,Premier League|Crystal Palace|2015/16
Premier League,34,West Bromwich Albion,20,14,18,16,5,4,13,11,38,0.89,2015/16,Premier League|West Bromwich Albion|2015/16
Premier League,27,Aston Villa,14,13,8,19,1,3,10,10,38,0.71,2015/16,Premier League|Aston Villa|2015/16
Bundesliga,82,Borussia Dortmund,49,33,32,50,6,17,16,15,34,2.41,2015/16,Bundesliga|Borussia Dortmund|2015/16
Bundesliga,80,Bayern Munich,51,29,30,50,8,9,17,14,34,2.35,2015/16,Bundesliga|Bayern Munich|2015/16
Bundesliga,67,"Borussia M'gladbach",42,25,27,40,7,13,15,11,34,1.97,2015/16,"Bundesliga|Borussia M'gladbach|2015/16"
Bundesliga,56,Bayer Leverkusen,31,25,21,35,2,7,14,14,34,1.65,2015/16,Bundesliga|Bayer Leverkusen|2015/16
Bundesliga,51,FC Schalke 04,28,23,21,30,7,9,16,12,34,1.5,2015/16,Bundesliga|FC Schalke 04|2015/16
Bundesliga,50,Werder Bremen,27,23,22,28,4,9,13,12,34,1.47,2015/16,Bundesliga|Werder Bremen|2015/16
Bundesliga,50,VfB Stuttgart,22,28,22,28,3,8,13,13,34,1.47,2015/16,Bundesliga|VfB Stuttgart|2015/16
Bundesliga,47,VfL Wolfsburg,32,15,20,27,7,9,15,10,34,1.38,2015/16,Bundesliga|VfL Wolfsburg|2015/16
Bundesliga,46,1. FSV Mainz 05,23,23,26,20,7,3,10,12,34,1.35,2015/16,Bundesliga|1. FSV Mainz 05|2015/16
Bundesliga,42,Hertha BSC,24,18,20,22,7,4,14,11,34,1.24,2015/16,Bundesliga|Hertha BSC|2015/16
Bundesliga,42,FC Augsburg,18,24,22,20,8,7,11,16,34,1.24,2015/16,Bundesliga|FC Augsburg|2015/16
Bundesliga,40,Hamburger SV,20,20,18,22,6,8,12,11,34,1.18,2015/16,Bundesliga|Hamburger SV|2015/16
Bundesliga,39,TSG 1899 Hoffenheim,22,17,21,18,8,6,14,11,34,1.15,2015/16,Bundesliga|TSG 1899 Hoffenheim|2015/16
Bundesliga,38,1. FC Koln,16,22,14,24,2,7,9,12,34,1.12,2015/16,Bundesliga|1. FC Koln|2015/16
Bundesliga,38,SV Darmstadt 98,15,23,23,15,7,7,9,15,34,1.12,2015/16,Bundesliga|SV Darmstadt 98|2015/16
Bundesliga,34,Eintracht Frankfurt,22,12,16,18,5,7,12,7,34,1,2015/16,Bundesliga|Eintracht Frankfurt|2015/16
Bundesliga,33,FC Ingolstadt 04,22,11,14,19,4,6,12,10,34,0.97,2015/16,Bundesliga|FC Ingolstadt 04|2015/16
Bundesliga,31,Hannover 96,15,16,12,19,4,4,10,11,34,0.91,2015/16,Bundesliga|Hannover 96|2015/16
La Liga,112,Barcelona,67,45,42,70,11,20,19,17,38,2.95,2015/16,La Liga|Barcelona|2015/16
La Liga,110,Real Madrid,70,40,61,49,19,21,16,17,38,2.89,2015/16,La Liga|Real Madrid|2015/16
La Liga,63,Atletico Madrid,33,30,24,39,9,17,17,17,38,1.66,2015/16,La Liga|Atletico Madrid|2015/16
La Liga,58,Athletic Bilbao,35,23,28,30,8,9,14,13,38,1.53,2015/16,La Liga|Athletic Bilbao|2015/16
La Liga,52,Rayo Vallecano,29,23,29,23,16,4,15,15,38,1.37,2015/16,La Liga|Rayo Vallecano|2015/16
La Liga,51,Celta Vigo,29,22,28,23,6,9,15,15,38,1.34,2015/16,La Liga|Celta Vigo|2015/16
La Liga,51,Sevilla,38,13,21,30,5,6,18,12,38,1.34,2015/16,La Liga|Sevilla|2015/16
La Liga,49,Eibar,26,23,25,24,10,6,15,13,38,1.29,2015/16,La Liga|Eibar|2015/16
La Liga,46,Granada CF,26,20,19,27,4,9,14,12,38,1.21,2015/16,La Liga|Granada CF|2015/16
La Liga,46,Valencia,25,21,20,26,5,12,13,12,38,1.21,2015/16,La Liga|Valencia|2015/16
La Liga,45,Real Sociedad,22,23,25,20,12,8,13,12,38,1.18,2015/16,La Liga|Real Sociedad|2015/16
La Liga,45,Las Palmas,25,20,18,27,5,9,12,13,38,1.18,2015/16,La Liga|Las Palmas|2015/16
La Liga,45,Deportivo La Coruna,25,20,22,23,3,8,14,14,38,1.18,2015/16,La Liga|Deportivo La Coruna|2015/16
La Liga,44,Villarreal,26,18,19,25,5,10,15,10,38,1.16,2015/16,La Liga|Villarreal|2015/16
La Liga,40,Sporting Gijon,28,12,20,20,8,8,14,9,38,1.05,2015/16,La Liga|Sporting Gijon|2015/16
La Liga,39,Espanyol,22,17,19,20,9,3,15,11,38,1.03,2015/16,La Liga|Espanyol|2015/16
La Liga,38,Malaga,26,12,17,21,5,12,14,8,38,1,2015/16,La Liga|Malaga|2015/16
La Liga,37,Levante,23,14,13,24,3,7,14,10,38,0.97,2015/16,La Liga|Levante|2015/16
La Liga,37,Getafe,23,14,12,25,5,12,14,9,38,0.97,2015/16,La Liga|Getafe|2015/16
La Liga,34,Real Betis,17,17,13,21,4,8,14,12,38,0.89,2015/16,La Liga|Real Betis|2015/16
French Ligue 1,102,Paris Saint-Germain,59,43,38,64,10,15,16,18,38,2.68,2015/16,French Ligue 1|Paris Saint-Germain|2015/16
French Ligue 1,67,Olympique Lyonnais,42,25,31,36,9,21,16,14,38,1.76,2015/16,French Ligue 1|Olympique Lyonnais|2015/16
French Ligue 1,58,OGC Nice,32,26,30,28,10,9,15,13,38,1.53,2015/16,French Ligue 1|OGC Nice|2015/16
French Ligue 1,57,AS Monaco,30,27,24,33,5,9,17,16,38,1.5,2015/16,French Ligue 1|AS Monaco|2015/16
French Ligue 1,52,Stade Rennes,25,27,22,30,9,15,15,14,38,1.37,2015/16,French Ligue 1|Stade Rennes|2015/16
French Ligue 1,50,Girondins De Bordeaux,27,23,23,27,4,10,17,12,38,1.32,2015/16,French Ligue 1|Girondins De Bordeaux|2015/16
French Ligue 1,49,Montpellier HSC,26,23,24,25,8,9,12,10,38,1.29,2015/16,French Ligue 1|Montpellier HSC|2015/16
French Ligue 1,48,Olympique Marseille,27,21,14,34,3,8,15,17,38,1.26,2015/16,French Ligue 1|Olympique Marseille|2015/16
French Ligue 1,47,Lorient,26,21,20,27,5,7,14,14,38,1.24,2015/16,French Ligue 1|Lorient|2015/16
French Ligue 1,47,En Avant Guingamp,31,16,20,27,8,9,16,10,38,1.24,2015/16,French Ligue 1|En Avant Guingamp|2015/16
French Ligue 1,45,Toulouse,29,16,15,30,4,9,17,9,38,1.18,2015/16,French Ligue 1|Toulouse|2015/16
French Ligue 1,44,Stade Reims,28,16,17,27,7,10,15,10,38,1.16,2015/16,French Ligue 1|Stade Reims|2015/16
French Ligue 1,42,AS Saint-Etienne,25,17,11,31,5,9,15,12,38,1.11,2015/16,French Ligue 1|AS Saint-Etienne|2015/16
French Ligue 1,40,Angers SCO,20,20,22,18,5,7,10,12,38,1.05,2015/16,French Ligue 1|Angers SCO|2015/16
French Ligue 1,39,Caen,19,20,14,25,4,4,13,12,38,1.03,2015/16,French Ligue 1|Caen|2015/16
French Ligue 1,39,Lille OSC,21,18,16,23,2,8,14,11,38,1.03,2015/16,French Ligue 1|Lille OSC|2015/16
French Ligue 1,37,Gazelec Ajaccio,23,14,22,15,4,4,13,10,38,0.97,2015/16,French Ligue 1|Gazelec Ajaccio|2015/16
French Ligue 1,36,SC Bastia,23,13,16,20,6,6,15,10,38,0.95,2015/16,French Ligue 1|SC Bastia|2015/16
French Ligue 1,33,FC Nantes,20,13,14,19,6,3,12,10,38,0.87,2015/16,French Ligue 1|FC Nantes|2015/16
French Ligue 1,28,Troyes AC,13,15,11,17,6,5,8,11,38,0.74,2015/16,French Ligue 1|Troyes AC|2015/16
Eredivisie,88,PSV Eindhoven,41,47,41,47,20,13,16,17,34,2.59,2015/16,Eredivisie|PSV Eindhoven|2015/16
Eredivisie,81,AFC Ajax,49,32,40,41,10,14,16,16,34,2.38,2015/16,Eredivisie|AFC Ajax|2015/16
Eredivisie,70,AZ Alkmaar,38,32,31,39,12,9,13,15,34,2.06,2015/16,Eredivisie|AZ Alkmaar|2015/16
Eredivisie,62,Feyenoord,33,29,27,35,8,9,15,16,34,1.82,2015/16,Eredivisie|Feyenoord|2015/16
Eredivisie,57,FC Utrecht,30,27,18,39,5,19,15,14,34,1.68,2015/16,Eredivisie|FC Utrecht|2015/16
Eredivisie,56,PEC Zwolle,35,21,28,28,8,6,16,11,34,1.65,2015/16,Eredivisie|PEC Zwolle|2015/16
Eredivisie,55,Vitesse Arnhem,30,25,22,33,6,12,12,12,34,1.62,2015/16,Eredivisie|Vitesse Arnhem|2015/16
Eredivisie,49,FC Twente,31,18,21,28,3,10,16,12,34,1.44,2015/16,Eredivisie|FC Twente|2015/16
Eredivisie,47,ADO Den Haag,20,27,22,25,7,7,13,15,34,1.38,2015/16,Eredivisie|ADO Den Haag|2015/16
Eredivisie,47,Heracles Almelo,28,19,22,25,5,8,14,11,34,1.38,2015/16,Eredivisie|Heracles Almelo|2015/16
Eredivisie,46,SC Heerenveen,24,22,17,29,6,8,12,14,34,1.35,2015/16,Eredivisie|SC Heerenveen|2015/16
Eredivisie,41,FC Groningen,25,16,16,25,4,9,14,11,34,1.21,2015/16,Eredivisie|FC Groningen|2015/16
Eredivisie,39,De Graafschap,23,16,16,23,5,9,13,12,34,1.15,2015/16,Eredivisie|De Graafschap|2015/16
Eredivisie,35,Willem II Tilburg,19,16,19,16,3,3,9,11,34,1.03,2015/16,Eredivisie|Willem II Tilburg|2015/16
Eredivisie,35,NEC Nijmegen,23,12,11,24,1,5,13,8,34,1.03,2015/16,Eredivisie|NEC Nijmegen|2015/16
Eredivisie,34,SBV Excelsior,21,13,13,21,5,9,13,7,34,1,2015/16,Eredivisie|SBV Excelsior|2015/16
Eredivisie,34,Roda JC Kerkrade,15,19,16,18,3,7,11,12,34,1,2015/16,Eredivisie|Roda JC Kerkrade|2015/16
Eredivisie,33,SC Cambuur,12,21,15,18,3,4,8,13,34,0.97,2015/16,Eredivisie|SC Cambuur|2015/16
Serie A,83,AS Roma,44,39,35,48,13,19,18,16,38,2.18,2015/16,Serie A|AS Roma|2015/16
Serie A,80,Napoli,49,31,36,44,12,12,18,14,38,2.11,2015/16,Serie A|Napoli|2015/16
Serie A,75,Juventus,37,38,34,41,8,18,18,16,38,1.97,2015/16,Serie A|Juventus|2015/16
Serie A,60,Fiorentina,34,26,32,28,10,13,18,14,38,1.58,2015/16,Serie A|Fiorentina|2015/16
Serie A,52,Torino,25,27,21,31,6,8,14,15,38,1.37,2015/16,Serie A|Torino|2015/16
Serie A,52,SS Lazio,32,20,18,34,8,14,15,11,38,1.37,2015/16,Serie A|SS Lazio|2015/16
Serie A,50,Internazionale,29,21,22,28,4,7,17,15,38,1.32,2015/16,Serie A|Internazionale|2015/16
Serie A,49,Sassuolo,25,24,30,19,7,6,15,16,38,1.29,2015/16,Serie A|Sassuolo|2015/16
Serie A,49,AC Milan,28,21,23,26,7,5,15,12,38,1.29,2015/16,Serie A|AC Milan|2015/16
Serie A,48,Sampdoria,29,19,20,28,5,9,14,13,38,1.26,2015/16,Serie A|Sampdoria|2015/16
Serie A,45,Genoa,29,16,17,28,8,7,14,10,38,1.18,2015/16,Serie A|Genoa|2015/16
Serie A,43,Chievo,25,18,19,24,9,6,13,12,38,1.13,2015/16,Serie A|Chievo|2015/16
Serie A,41,Atalanta,27,14,20,21,4,9,15,10,38,1.08,2015/16,Serie A|Atalanta|2015/16
Serie A,40,Empoli,22,18,18,22,4,5,15,13,38,1.05,2015/16,Serie A|Empoli|2015/16
Serie A,38,Palermo,24,14,17,21,5,7,12,11,38,1,2015/16,Serie A|Palermo|2015/16
Serie A,37,Carpi,23,14,14,23,1,9,15,9,38,0.97,2015/16,Serie A|Carpi|2015/16
Serie A,35,Frosinone,18,17,17,18,5,6,10,11,38,0.92,2015/16,Serie A|Frosinone|2015/16
Serie A,35,Udinese,18,17,17,18,5,4,12,14,38,0.92,2015/16,Serie A|Udinese|2015/16
Serie A,34,Hellas Verona,21,13,10,24,1,6,13,10,38,0.89,2015/16,Serie A|Hellas Verona|2015/16
Serie A,33,Bologna,20,13,17,16,8,8,10,10,38,0.87,2015/16,Serie A|Bologna|2015/16
Scottish Premiership,93,Celtic,55,38,46,47,13,10,16,18,38,2.45,2015/16,Scottish Premiership|Celtic|2015/16
Scottish Premiership,62,Aberdeen,30,32,32,30,12,8,16,17,38,1.63,2015/16,Scottish Premiership|Aberdeen|2015/16
Scottish Premiership,59,Heart of Midlothian,37,22,28,31,8,8,18,12,38,1.55,2015/16,Scottish Premiership|Heart of Midlothian|2015/16
Scottish Premiership,58,St Johnstone,27,31,26,32,11,9,15,15,38,1.53,2015/16,Scottish Premiership|St Johnstone|2015/16
Scottish Premiership,55,Ross County,29,26,29,26,8,8,15,13,38,1.45,2015/16,Scottish Premiership|Ross County|2015/16
Scottish Premiership,54,Inverness Cali,25,29,23,31,8,6,12,15,38,1.42,2015/16,Scottish Premiership|Inverness Cali|2015/16
Scottish Premiership,53,Dundee,30,23,26,27,10,10,15,13,38,1.39,2015/16,Scottish Premiership|Dundee|2015/16
Scottish Premiership,47,Motherwell,27,20,22,25,10,8,16,13,38,1.24,2015/16,Scottish Premiership|Motherwell|2015/16
Scottish Premiership,45,Dundee United,22,23,22,23,7,11,13,13,38,1.18,2015/16,Scottish Premiership|Dundee United|2015/16
Scottish Premiership,42,Hamilton Academical,21,21,16,26,5,10,12,13,38,1.11,2015/16,Scottish Premiership|Hamilton Academical|2015/16
Scottish Premiership,41,Kilmarnock,19,22,19,22,5,7,10,14,38,1.08,2015/16,Scottish Premiership|Kilmarnock|2015/16
Scottish Premiership,41,Partick Thistle,21,20,16,25,9,7,14,10,38,1.08,2015/16,Scottish Premiership|Partick Thistle|2015/16
